Entity,Code,Year,Annual change in population,Annual population change (Projected)
Afghanistan,AFG,1951,103163,
Afghanistan,AFG,1952,108441,
Afghanistan,AFG,1953,108919,
Afghanistan,AFG,1954,111251,
Afghanistan,AFG,1955,119027,
Afghanistan,AFG,1956,127322,
Afghanistan,AFG,1957,134037,
Afghanistan,AFG,1958,135072,
Afghanistan,AFG,1959,145858,
Afghanistan,AFG,1960,165778,
Afghanistan,AFG,1961,179034,
Afghanistan,AFG,1962,190328,
Afghanistan,AFG,1963,200081,
Afghanistan,AFG,1964,209826,
Afghanistan,AFG,1965,221686,
Afghanistan,AFG,1966,230394,
Afghanistan,AFG,1967,239564,
Afghanistan,AFG,1968,250963,
Afghanistan,AFG,1969,260493,
Afghanistan,AFG,1970,272717,
Afghanistan,AFG,1971,277538,
Afghanistan,AFG,1972,286026,
Afghanistan,AFG,1973,304302,
Afghanistan,AFG,1974,311127,
Afghanistan,AFG,1975,304839,
Afghanistan,AFG,1976,285895,
Afghanistan,AFG,1977,280897,
Afghanistan,AFG,1978,270686,
Afghanistan,AFG,1979,44131,
Afghanistan,AFG,1980,-486262,
Afghanistan,AFG,1981,-1231727,
Afghanistan,AFG,1982,-946206,
Afghanistan,AFG,1983,-73395,
Afghanistan,AFG,1984,272237,
Afghanistan,AFG,1985,236633,
Afghanistan,AFG,1986,-6781,
Afghanistan,AFG,1987,-32252,
Afghanistan,AFG,1988,135477,
Afghanistan,AFG,1989,350790,
Afghanistan,AFG,1990,171575,
Afghanistan,AFG,1991,193215,
Afghanistan,AFG,1992,1040104,
Afghanistan,AFG,1993,1664192,
Afghanistan,AFG,1994,1307625,
Afghanistan,AFG,1995,815037,
Afghanistan,AFG,1996,697429,
Afghanistan,AFG,1997,688834,
Afghanistan,AFG,1998,707896,
Afghanistan,AFG,1999,727796,
Afghanistan,AFG,2000,242542,
Afghanistan,AFG,2001,153969,
Afghanistan,AFG,2002,1093820,
Afghanistan,AFG,2003,1354930,
Afghanistan,AFG,2004,827603,
Afghanistan,AFG,2005,843919,
Afghanistan,AFG,2006,1019525,
Afghanistan,AFG,2007,485752,
Afghanistan,AFG,2008,572779,
Afghanistan,AFG,2009,983471,
Afghanistan,AFG,2010,817986,
Afghanistan,AFG,2011,1063620,
Afghanistan,AFG,2012,1212328,
Afghanistan,AFG,2013,1062673,
Afghanistan,AFG,2014,1169819,
Afghanistan,AFG,2015,1039239,
Afghanistan,AFG,2016,868846,
Afghanistan,AFG,2017,988328,
Afghanistan,AFG,2018,1054099,
Afghanistan,AFG,2019,1113085,
Afghanistan,AFG,2020,1212852,
Afghanistan,AFG,2021,931433,
Afghanistan,AFG,2022,578437,
Afghanistan,AFG,2023,875915,
Afghanistan,AFG,2024,,1192740
Afghanistan,AFG,2025,,1196614
Afghanistan,AFG,2026,,1202951
Afghanistan,AFG,2027,,1211846
Afghanistan,AFG,2028,,1211658
Afghanistan,AFG,2029,,1255148
Afghanistan,AFG,2030,,1313685
Afghanistan,AFG,2031,,1336598
Afghanistan,AFG,2032,,1331846
Afghanistan,AFG,2033,,1336406
Afghanistan,AFG,2034,,1315210
Afghanistan,AFG,2035,,1287770
Afghanistan,AFG,2036,,1306431
Afghanistan,AFG,2037,,1325374
Afghanistan,AFG,2038,,1318805
Afghanistan,AFG,2039,,1346630
Afghanistan,AFG,2040,,1403403
Afghanistan,AFG,2041,,1390973
Afghanistan,AFG,2042,,1321372
Afghanistan,AFG,2043,,1314942
Afghanistan,AFG,2044,,1328802
Afghanistan,AFG,2045,,1317234
Afghanistan,AFG,2046,,1363499
Afghanistan,AFG,2047,,1371607
Afghanistan,AFG,2048,,1353429
Afghanistan,AFG,2049,,1405870
Afghanistan,AFG,2050,,1369531
Afghanistan,AFG,2051,,1269922
Afghanistan,AFG,2052,,1302229
Afghanistan,AFG,2053,,1364601
Afghanistan,AFG,2054,,1374918
Afghanistan,AFG,2055,,1382080
Afghanistan,AFG,2056,,1401768
Afghanistan,AFG,2057,,1412999
Afghanistan,AFG,2058,,1379893
Afghanistan,AFG,2059,,1308195
Afghanistan,AFG,2060,,1280993
Afghanistan,AFG,2061,,1270993
Afghanistan,AFG,2062,,1297905
Afghanistan,AFG,2063,,1344488
Afghanistan,AFG,2064,,1362964
Afghanistan,AFG,2065,,1385168
Afghanistan,AFG,2066,,1314510
Afghanistan,AFG,2067,,1238491
Afghanistan,AFG,2068,,1273364
Afghanistan,AFG,2069,,1282271
Afghanistan,AFG,2070,,1283754
Afghanistan,AFG,2071,,1240459
Afghanistan,AFG,2072,,1179056
Afghanistan,AFG,2073,,1227092
Afghanistan,AFG,2074,,1202275
Afghanistan,AFG,2075,,1087350
Afghanistan,AFG,2076,,1047009
Afghanistan,AFG,2077,,1075944
Afghanistan,AFG,2078,,1038487
Afghanistan,AFG,2079,,1069110
Afghanistan,AFG,2080,,1090369
Afghanistan,AFG,2081,,960526
Afghanistan,AFG,2082,,881914
Afghanistan,AFG,2083,,862301
Afghanistan,AFG,2084,,914436
Afghanistan,AFG,2085,,931306
Afghanistan,AFG,2086,,818960
Afghanistan,AFG,2087,,815018
Afghanistan,AFG,2088,,835787
Afghanistan,AFG,2089,,789484
Afghanistan,AFG,2090,,820969
Afghanistan,AFG,2091,,805514
Afghanistan,AFG,2092,,744161
Afghanistan,AFG,2093,,735241
Afghanistan,AFG,2094,,717474
Afghanistan,AFG,2095,,683263
Afghanistan,AFG,2096,,657615
Afghanistan,AFG,2097,,657729
Afghanistan,AFG,2098,,659263
Afghanistan,AFG,2099,,651361
Afghanistan,AFG,2100,,600621
Africa (UN),UN_AFR,1951,4780553,
Africa (UN),UN_AFR,1952,4982570,
Africa (UN),UN_AFR,1953,5145523,
Africa (UN),UN_AFR,1954,5320753,
Africa (UN),UN_AFR,1955,5532030,
Africa (UN),UN_AFR,1956,5733589,
Africa (UN),UN_AFR,1957,5857225,
Africa (UN),UN_AFR,1958,5913077,
Africa (UN),UN_AFR,1959,6229865,
Africa (UN),UN_AFR,1960,6650347,
Africa (UN),UN_AFR,1961,6891797,
Africa (UN),UN_AFR,1962,7145885,
Africa (UN),UN_AFR,1963,7411408,
Africa (UN),UN_AFR,1964,7689355,
Africa (UN),UN_AFR,1965,7952855,
Africa (UN),UN_AFR,1966,8238741,
Africa (UN),UN_AFR,1967,8598720,
Africa (UN),UN_AFR,1968,8949929,
Africa (UN),UN_AFR,1969,9231617,
Africa (UN),UN_AFR,1970,9519614,
Africa (UN),UN_AFR,1971,9774226,
Africa (UN),UN_AFR,1972,9985786,
Africa (UN),UN_AFR,1973,10509764,
Africa (UN),UN_AFR,1974,11048328,
Africa (UN),UN_AFR,1975,11563181,
Africa (UN),UN_AFR,1976,12063471,
Africa (UN),UN_AFR,1977,12163505,
Africa (UN),UN_AFR,1978,12878792,
Africa (UN),UN_AFR,1979,13659251,
Africa (UN),UN_AFR,1980,13853208,
Africa (UN),UN_AFR,1981,14569258,
Africa (UN),UN_AFR,1982,15337905,
Africa (UN),UN_AFR,1983,15273860,
Africa (UN),UN_AFR,1984,15405371,
Africa (UN),UN_AFR,1985,16025990,
Africa (UN),UN_AFR,1986,16303235,
Africa (UN),UN_AFR,1987,16634031,
Africa (UN),UN_AFR,1988,16786358,
