Entity,Code,Year,Deaths,Projected deaths (Projected),Births,Projected births (Projected)
Afghanistan,AFG,1950,290972,,383985,
Afghanistan,AFG,1951,288752,,391002,
Afghanistan,AFG,1952,288059,,397663,
Afghanistan,AFG,1953,287712,,404666,
Afghanistan,AFG,1954,289189,,410428,
Afghanistan,AFG,1955,286725,,417650,
Afghanistan,AFG,1956,286654,,425071,
Afghanistan,AFG,1957,286114,,432044,
Afghanistan,AFG,1958,285911,,439867,
Afghanistan,AFG,1959,285500,,447510,
Afghanistan,AFG,1960,286159,,456418,
Afghanistan,AFG,1961,286818,,465920,
Afghanistan,AFG,1962,288056,,476486,
Afghanistan,AFG,1963,289745,,487782,
Afghanistan,AFG,1964,291215,,499081,
Afghanistan,AFG,1965,292987,,510721,
Afghanistan,AFG,1966,294993,,523769,
Afghanistan,AFG,1967,296952,,536916,
Afghanistan,AFG,1968,299051,,550849,
Afghanistan,AFG,1969,301153,,564969,
Afghanistan,AFG,1970,302998,,578135,
Afghanistan,AFG,1971,305182,,593459,
Afghanistan,AFG,1972,306798,,607433,
Afghanistan,AFG,1973,308381,,623433,
Afghanistan,AFG,1974,310341,,640572,
Afghanistan,AFG,1975,311727,,655576,
Afghanistan,AFG,1976,312570,,670354,
Afghanistan,AFG,1977,312222,,684795,
Afghanistan,AFG,1978,329013,,698108,
Afghanistan,AFG,1979,348735,,710483,
Afghanistan,AFG,1980,338526,,703929,
Afghanistan,AFG,1981,315307,,658773,
Afghanistan,AFG,1982,308039,,571255,
Afghanistan,AFG,1983,294923,,558710,
Afghanistan,AFG,1984,358183,,563440,
Afghanistan,AFG,1985,362220,,590687,
Afghanistan,AFG,1986,285998,,596068,
Afghanistan,AFG,1987,280336,,594693,
Afghanistan,AFG,1988,237449,,595844,
Afghanistan,AFG,1989,232518,,613672,
Afghanistan,AFG,1990,234647,,637076,
Afghanistan,AFG,1991,229891,,639838,
Afghanistan,AFG,1992,228005,,668128,
Afghanistan,AFG,1993,218356,,759621,
Afghanistan,AFG,1994,242610,,851696,
Afghanistan,AFG,1995,245793,,899076,
Afghanistan,AFG,1996,247403,,932409,
Afghanistan,AFG,1997,251885,,961674,
Afghanistan,AFG,1998,266055,,985909,
Afghanistan,AFG,1999,252505,,1013252,
Afghanistan,AFG,2000,253804,,1036525,
Afghanistan,AFG,2001,242473,,1006562,
Afghanistan,AFG,2002,239161,,1015202,
Afghanistan,AFG,2003,243573,,1069727,
Afghanistan,AFG,2004,244435,,1095372,
Afghanistan,AFG,2005,241932,,1097038,
Afghanistan,AFG,2006,245586,,1120880,
Afghanistan,AFG,2007,245809,,1135656,
Afghanistan,AFG,2008,235284,,1126525,
Afghanistan,AFG,2009,237450,,1158017,
Afghanistan,AFG,2010,237640,,1181113,
Afghanistan,AFG,2011,235724,,1202456,
Afghanistan,AFG,2012,239042,,1243843,
Afghanistan,AFG,2013,240239,,1274030,
Afghanistan,AFG,2014,246289,,1300107,
Afghanistan,AFG,2015,254689,,1331758,
Afghanistan,AFG,2016,254007,,1344010,
Afghanistan,AFG,2017,261084,,1362270,
Afghanistan,AFG,2018,267164,,1382424,
Afghanistan,AFG,2019,267421,,1405919,
Afghanistan,AFG,2020,295555,,1429983,
Afghanistan,AFG,2021,320101,,1453685,
Afghanistan,AFG,2022,243197,,1462654,
Afghanistan,AFG,2023,240296,,1469029,
Afghanistan,AFG,2024,,243182,,1492956
Afghanistan,AFG,2025,,245867,,1507838
Afghanistan,AFG,2026,,248524,,1520756
Afghanistan,AFG,2027,,251815,,1539697
Afghanistan,AFG,2028,,254756,,1554635
Afghanistan,AFG,2029,,257556,,1560603
Afghanistan,AFG,2030,,261697,,1576405
Afghanistan,AFG,2031,,265766,,1593559
Afghanistan,AFG,2032,,270294,,1608835
Afghanistan,AFG,2033,,274775,,1623191
Afghanistan,AFG,2034,,279858,,1644283
Afghanistan,AFG,2035,,284249,,1656173
Afghanistan,AFG,2036,,289133,,1667402
Afghanistan,AFG,2037,,294473,,1676947
Afghanistan,AFG,2038,,300068,,1677662
Afghanistan,AFG,2039,,305848,,1684713
Afghanistan,AFG,2040,,312499,,1700106
Afghanistan,AFG,2041,,319484,,1709246
Afghanistan,AFG,2042,,326584,,1720301
Afghanistan,AFG,2043,,333698,,1728236
Afghanistan,AFG,2044,,341192,,1741359
Afghanistan,AFG,2045,,349009,,1750865
Afghanistan,AFG,2046,,357524,,1765924
Afghanistan,AFG,2047,,366340,,1778232
Afghanistan,AFG,2048,,375372,,1791287
Afghanistan,AFG,2049,,384384,,1799474
Afghanistan,AFG,2050,,394685,,1811144
Afghanistan,AFG,2051,,404301,,1817284
Afghanistan,AFG,2052,,413750,,1821208
Afghanistan,AFG,2053,,424094,,1830909
Afghanistan,AFG,2054,,434899,,1840348
Afghanistan,AFG,2055,,446396,,1850759
Afghanistan,AFG,2056,,457820,,1860635
Afghanistan,AFG,2057,,470078,,1870982
Afghanistan,AFG,2058,,482411,,1880394
Afghanistan,AFG,2059,,494586,,1886608
Afghanistan,AFG,2060,,506974,,1889830
Afghanistan,AFG,2061,,519990,,1891503
Afghanistan,AFG,2062,,532863,,1891686
Afghanistan,AFG,2063,,546552,,1896166
Afghanistan,AFG,2064,,561253,,1898122
Afghanistan,AFG,2065,,576046,,1906320
Afghanistan,AFG,2066,,591711,,1912670
Afghanistan,AFG,2067,,606783,,1909255
Afghanistan,AFG,2068,,623147,,1908345
Afghanistan,AFG,2069,,639775,,1908739
Afghanistan,AFG,2070,,656714,,1909734
Afghanistan,AFG,2071,,674112,,1911412
Afghanistan,AFG,2072,,691064,,1909678
Afghanistan,AFG,2073,,708015,,1907113
Afghanistan,AFG,2074,,725811,,1910085
Afghanistan,AFG,2075,,743366,,1909651
Afghanistan,AFG,2076,,761404,,1904112
Afghanistan,AFG,2077,,779589,,1901489
Afghanistan,AFG,2078,,797275,,1899027
Afghanistan,AFG,2079,,814733,,1895702
Afghanistan,AFG,2080,,832547,,1898699
Afghanistan,AFG,2081,,849219,,1896198
Afghanistan,AFG,2082,,866720,,1891074
Afghanistan,AFG,2083,,883997,,1885882
Afghanistan,AFG,2084,,901131,,1881892
Afghanistan,AFG,2085,,918371,,1881811
Afghanistan,AFG,2086,,935427,,1879254
Afghanistan,AFG,2087,,951451,,1873799
Afghanistan,AFG,2088,,968456,,1872115
Afghanistan,AFG,2089,,984872,,1867655
Afghanistan,AFG,2090,,1001677,,1862532
Afghanistan,AFG,2091,,1018428,,1858796
Afghanistan,AFG,2092,,1034541,,1854173
Afghanistan,AFG,2093,,1051258,,1849146
Afghanistan,AFG,2094,,1067592,,1843534
Afghanistan,AFG,2095,,1084223,,1838628
Afghanistan,AFG,2096,,1099780,,1834483
Afghanistan,AFG,2097,,1114439,,1829429
Afghanistan,AFG,2098,,1130145,,1825504
Afghanistan,AFG,2099,,1145241,,1819805
Afghanistan,AFG,2100,,1161692,,1813187
Africa,OWID_AFR,1950,,,10878552,
Africa,OWID_AFR,1951,,,11138512,
Africa,OWID_AFR,1952,,,11398578,
Africa,OWID_AFR,1953,,,11669184,
Africa,OWID_AFR,1954,,,11924005,
Africa,OWID_AFR,1955,,,12185525,
Africa,OWID_AFR,1956,,,12452579,
Africa,OWID_AFR,1957,,,12725158,
Africa,OWID_AFR,1958,,,12997770,
Africa,OWID_AFR,1959,,,13271432,
Africa,OWID_AFR,1960,,,13574660,
Africa,OWID_AFR,1961,,,13890989,
Africa,OWID_AFR,1962,,,14224913,
Africa,OWID_AFR,1963,,,14549406,
Africa,OWID_AFR,1964,,,14873522,
Africa,OWID_AFR,1965,,,15200404,
Africa,OWID_AFR,1966,,,15572568,
Africa,OWID_AFR,1967,,,15942640,
Africa,OWID_AFR,1968,,,16325415,
Africa,OWID_AFR,1969,,,16725758,
Africa,OWID_AFR,1970,,,17145358,
Africa,OWID_AFR,1971,,,17595066,
Africa,OWID_AFR,1972,,,18025590,
Africa,OWID_AFR,1973,,,18457524,
Africa,OWID_AFR,1974,,,18954560,
